,Authors,Abstract
Source,Wang L.X.; Wilson N.J.,"U.S. states have taken varied approaches to licensing cannabis businesses under federal prohibition, but up to now there is limited research on cross-state licensing approaches. This paper provides a systematic analysis of the current licensing strategies taken by all states that have passed medical cannabis laws (MCLs)/recreational cannabis laws (RCLs). We construct comprehensive data on cannabis business licenses offered in each state, as well as metrics for license categories, cost, and issuance volume. We then analyze patterns between these metrics, also considering how long ago states implemented MCLs/RCLs, qualitative licensing aspects, state ideology and voting preference, and state cannabis taxation data. We observe that states tend to license medical cannabis more restrictively than adult-use cannabis: i.e., by offering licenses in fewer categories, at higher cost, in lower issuance volume, and more often mandating vertical integration. Additionally, states that implemented MCLs/RCLs earlier tend to offer licenses in more categories, at lower cost, and in greater volumes. Further, though states that implemented MCLs recently lean conservative and Republican, we do not observe clear relationships between ideology or voting preference and licensing policy. In our supporting results, we observe that a greater share of states with complex licensing structures impose non-retail price cannabis taxes than states overall, and we discuss how states have changed their licensing policies over time. © 2022"
S,Masse C.; Oates D.J.; Lynch C.; Murphy A.G.; Hunt D.; Wheeler V.L.; Williams-Hall V.,"Washington State has one of the nation's most mature licensed cannabis industries, but nearly a decade after its voters declared the State would stop treating adult cannabis use as a crime, the Washington State Liquor and Cannabis Board (LCB) has failed to embrace the voters' lofty ambitions. Legislators, licensees, and even LCB staff have derided the LCB's preference for enforcement before education and its reliance on traditional policing systems developed during the War on Drugs to regulate the cannabis industry. The LCB's frequently hostile enforcement culture-including arguing to courts that cannabis licensees have no constitutional rights-has repeatedly converted de minimis regulatory violations into business-ending events. The LCB's conduct prompted the legislature to pass a sweeping reform bill, and a subsequently issued independent audit requested by the LCB recognized the need for and recommended additional widespread reform, some of which the LCB implemented. Nevertheless, the LCB has not yet shown it has evolved into an agency that prioritizes achieving regulatory compliance over punishing licensees. This Article, the first of its kind to chronicle the regulatory and legislative evolution of Washington's cannabis industry, details the troubling history of the LCB's abuses of power and policy blunders in the early years of regulating Washington's cannabis industry. Washington presents a cautionary tale for other jurisdictions to heed when crafting or amending the regulatory scheme for their adult use cannabis industries. Stakeholders that are looking for a responsible and fair approach to regulating cannabis should consider the history, limitations, concerns, and resulting reforms borne from the Washington system. © 2021 Cornell Law School. All rights reserved."
S,Kavousi P.; Giamo T.; Arnold G.; Alliende M.; Huynh E.; Lea J.; Lucine R.; Tillett Miller A.; Webre A.; Yee A.; Champagne-Zamora A.; Taylor K.,"This review article assays the scholarly and popular press literature on the opportunities and challenges the growing legalized cannabis industry offers U.S. local governments and communities. Localities are an important focus because in many states with legalized cannabis, local jurisdictions have authority to prevent or condition its cultivation, sale, and use. Opportunities potentially flowing to localities from legalization include increased tax revenues and land values, business expansion, and increased employment; public health and safety benefits; and the potential for legalization to advance social and racial inclusion. Challenges include the possibility that economic benefits will be more limited than anticipated; complex regulatory environments facing local governments and cannabis businesses, possible increases in pollution, blight, and public health and safety concerns; and less advancement of social and racial equity than hoped by advocates. We offer recommendations for scholars investigating cannabis governance concerns and practitioners directly grappling with them. © 2021 The Authors. Review of Policy Research published by Wiley Periodicals LLC on behalf of Policy Studies Organization"
S,Tindimwebwa L.; Ajayi A.I.; Adeniyi O.V.,"This study reports on the prevalence and demographic correlates of substance use among individuals with mental illness in the Eastern Cape, South Africa. This cross-sectional study was conducted in the Outpatient Clinic of a large hospital in the Eastern Cape, South Africa. A pre-validated tool on alcohol and psychoactive drug use was administered to 390 individuals with mental illness. Multivariable logistic regression models were fitted to explore the demographic correlates of alcohol and psychoactive drug use. Of the total participants (N = 390), 64.4% and 33.3% reported lifetime (ever used) and past-year use of alcohol, respectively, but the prevalence of risky alcohol use was 18.5%. After adjusting for relevant covariates, only male sex, younger age, and rural residence remained significantly associated with risky alcohol use. The prevalence of ever-use and past-year use of psychoactive substances was 39.7% and 17.4%, respectively. The most common substance ever used was cannabis (37.4%). Male sex, younger age, owning a business, and being unemployed were significantly associated with higher odds of lifetime and past-year use of psychoactive substances. Findings highlight the need for dedicated infrastructure and staff training in the management of these dual diagnoses in the region. © 2021 by the authors. Licensee MDPI, Basel, Switzerland."
S,Clarke R.,"Purpose: This paper aims to illuminate the diverging approaches to marijuana-related drug enforcement at the federal and state levels in the USA, which have facilitated a boom in the US medical cannabis industry (i.e. the “Green Rush”). It further sheds light on how the USA’ aggressive extraterritorial approach to anti-money laundering (AML) enforcement might simultaneously suppress the banking of cannabis-related businesses in Jamaica due to the lingering fear of de-risking. Design/methodology/approach: An international and comparative legal and policy analysis was conducted of the nexus among shifting drug enforcement policies, AML laws and the banking of cannabis-related businesses. Findings: This study found that the constitutional relationship between the US federal government and states has created a de facto comparative advantage for the US medical cannabis-related businesses that benefit from limited access to financial services. This was found to pose far-reaching implications for the banking and development of the Jamaican cannabis sector due to the dependence of the country’s financial institutions on correspondent banking relationships with the US banks that are regulated by federal AML statutes. Originality/value: To the best of the author’s knowledge, this paper is the first of its kind to examine the extraterritorial regulatory risks to the banking of cannabis-related businesses in Jamaica. © 2021, Emerald Publishing Limited."
S,Plakias Z.; Jodlowski M.; Giamo T.; Kavousi P.; Taylor K.,"Purpose: Despite 2016 legalization of recreational cannabis cultivation and sale in California with the passage of Proposition 64, many cannabis businesses operate without licenses. Furthermore, federal regulations disincentivize financial institutions from banking and lending to licensed cannabis businesses. The authors explore the impact of legal cannabis business activity on California financial institutions, the barriers to banking faced by cannabis businesses, and the nontraditional sources of financing used by the industry. Design/methodology/approach: The authors use a mixed methods approach. The authors utilize call data for banks and credit unions headquartered in California and state cannabis licensing data to estimate the impact of the extensive and intensive margins of licensed cannabis activity on key banking indicators using difference-and-difference and fixed effects regressions. The qualitative data come from interviews with industry stakeholders in northern California's “Emerald Triangle” and add important context. Findings: The quantitative results show economically and statistically significant impacts of licensed cannabis activity on banking indicators, suggesting both direct and spillover effects from cannabis activity to the financial sector. However, cannabis businesses report substantial barriers to accessing basic financial services and credit, leading to nontraditional financing arrangements. Practical implications: The results suggest opportunities for cannabis businesses and financial institutions if regulations are eased and important avenues for further study. Originality/value: The authors contribute to the nascent literature on cannabis economics and the literature on banking regulation and nontraditional finance. © 2021, Emerald Publishing Limited."
S,Bajaj V.; Pathak P.; Mehrotra S.; Singh V.; Govil S.; Khanna A.,"Catatonia is a syndrome of specific motor abnormalities closely associated with disorders in mood, affect, thought and cognition. The principal signs of the disorder are mutism, immobility, negativism, posturing, stereotypy and echo phenomena. Catatonia is commonly seen in various psychiatric disorders, neurological disorders and certain medical conditions. It has also been reported in individuals with substance withdrawal. But we are presenting the case of a patient with cannabis dependence, who presented with symptoms of catatonia preceded by an increase in the amount of cannabis intake and resolution of the catatonia when he abstained from the substance. Literature review did not show any case revealing association between cannabis to catatonia. © 2009 Springer Science+Business Media, LLC."
S,Cherney J.H.; Small E.,"Most of the Western World banned the cultivation of Cannabis sativa in the early 20th century because biotypes high in ∆9-tetrahydrocannabinol (THC, the principal intoxicant cannabinoid) are the source of marijuana. Nevertheless, since 1990, dozens of countries have authorized the licensed growth and processing of “industrial hemp” (cultivars with quite low levels of THC). Canada has concentrated on hemp oilseed production, and very recently, Europe changed its emphasis from fiber to oilseed. The USA, historically a major hemp producer, appears on the verge of reintroducing industrial hemp production. This presentation provides updates on various agricultural, scientific, social, and political considerations that impact the commercial hemp industry in the United States and Canada. The most promising scenario for the hemp industry in North America is a continuing focus on oilseed production, as well as cannabidiol (CBD), the principal non-intoxicant cannabinoid considered by many to have substantial medical potential, and currently in great demand as a pharmaceutical. Future success of the industrial hemp industry in North America is heavily dependent on the breeding of more productive oilseed cultivars, the continued development of consumer goods, reasonable but not overly restrictive regulations, and discouragement of overproduction associated with unrealistic enthusiasm. Changing attitudes have generated an unprecedented demand for the cannabis plant and its products, resulting in urgent needs for new legislative, regulatory, and business frameworks, as well as scientific, technological, and agricultural research. © 2016 by the authors"
S,Otañez M.; Grewal J.,"In 2020, medical cannabis is legal in thirty-six states and adult use (""recreational"") cannabis is legal in fifteen, despite cannabis remaining illegal at the federal level. Up to 250,000 individuals work as full-time employees in cannabis. During the COVID-19 pandemic, California, Colorado, and other states deemed medical cannabis business as essential, raising occupational challenges and safety issues for cannabis employees. In 2020, interviews were conducted with Ethan, an extraction lab assistant in Las Vegas; Haylee, a trainer with a cannabis company in Sacramento; and Belinda, a Wisconsin-based occupational health and safety trainer, to showcase concerns and experiences in cannabis workplaces and training programs. Findings from interviews reveal pro-worker activities to promote workplace safety and labor unionism while large multistate operators seek to optimize profits and obstruct workers' rights. Knowledge gained through the interviews contributes to discussions to lessen the potential exposure of the cannabis workforce to COVID 19."
S,Rychert M.; Emanuel M.A.; Wilkins C.,"Introduction: The establishment of a legal market for medicinal cannabis under the Dangerous Drugs Amendment Act 2015 has positioned Jamaica at the forefront of cannabis law reform in the developing world. Many local cannabis businesses have attracted investment from overseas, including from Canada, US and Europe. Aim: To explore the opportunities and risks of foreign investment in an emerging domestic legal cannabis market in a developing country. Methods: Thematic analysis of semi-structured face-to-face interviews with 22 key informants (KIs) from the Jamaican government, local cannabis industry, academia and civil society, and field observations of legal and illegal cannabis cultivators. Results: KIs from the Jamaican public agencies and domestic cannabis entrepreneurs saw foreign investment as an essential source of capital to finance the start-up costs of legal cannabis businesses. Local cannabis entrepreneurs prioritised investors with the greatest financial resources, brand reputation and export networks. They also considered how allied an investor was with their business vision (e.g., organic cultivation, medical vs. recreational). The key benefits of partnering with a foreign investor included transfer of technical knowledge and financial capital, which enhanced production, quality assurance and seed-to-sale tracking. Some KIs expressed concern over investors’ focus on increasing production efficiency and scale at the expense of funding research and development (R&D) and clinical trials. KIs from the local industry, government agencies and civil society highlighted the risks of ‘predatory’ shareholder agreements and domestic political interference. Concerns were raised about the impact of foreign investment on the diversity of the domestic cannabis sector in Jamaica, including the commitment to transition traditional illegal small-scale cannabis cultivators to the legal sector. Conclusion: While foreign investment has facilitated the commercialisation of the cannabis sector in Jamaica, regulatory measures are also needed to protect the domestic industry and support the transition of small-scale illegal cultivators to the legal regime. Foreign investments may alter the economic, social and political determinants of health in transitioning from illegal to legal cannabis market economy. © 2021, The Author(s)."
