"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Link","Abstract","Author Keywords","Index Keywords","Publisher"
"Wang L.X.; Wilson N.J.","Wang, Lucy Xiaolu (57222613187); Wilson, Nicholas J. (57734751100)","57222613187; 57734751100","U.S. State approaches to cannabis licensing","2022","International Journal of Drug Policy","106","","103755","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131698208&doi=10.1016%2fj.drugpo.2022.103755&partnerID=40&md5=aece250fe0abbfc1a33231d3c2d8a17c","U.S. states have taken varied approaches to licensing cannabis businesses under federal prohibition, but up to now there is limited research on cross-state licensing approaches. This paper provides a systematic analysis of the current licensing strategies taken by all states that have passed medical cannabis laws (MCLs)/recreational cannabis laws (RCLs). We construct comprehensive data on cannabis business licenses offered in each state, as well as metrics for license categories, cost, and issuance volume. We then analyze patterns between these metrics, also considering how long ago states implemented MCLs/RCLs, qualitative licensing aspects, state ideology and voting preference, and state cannabis taxation data. We observe that states tend to license medical cannabis more restrictively than adult-use cannabis: i.e., by offering licenses in fewer categories, at higher cost, in lower issuance volume, and more often mandating vertical integration. Additionally, states that implemented MCLs/RCLs earlier tend to offer licenses in more categories, at lower cost, and in greater volumes. Further, though states that implemented MCLs recently lean conservative and Republican, we do not observe clear relationships between ideology or voting preference and licensing policy. In our supporting results, we observe that a greater share of states with complex licensing structures impose non-retail price cannabis taxes than states overall, and we discuss how states have changed their licensing policies over time. © 2022","Adult-use cannabis; Cannabis legalization; Licensing; Medical cannabis; Rationing","Adult; Analgesics; Cannabinoid Receptor Agonists; Cannabis; Hallucinogens; Humans; Legislation, Drug; Marijuana Smoking; Medical Marijuana; United States; cannabis; analgesic agent; cannabinoid receptor agonist; medical cannabis; psychedelic agent; ambulatory care; Article; commercial phenomena; cost; entrepreneurship; fiscal policy; health care cost; human; legal aspect; licensing; management; public health; tax; adult; cannabis smoking; drug legislation; United States","Elsevier B.V."
"Masse C.; Oates D.J.; Lynch C.; Murphy A.G.; Hunt D.; Wheeler V.L.; Williams-Hall V.","Masse, Christine (58643307700); Oates, Daniel J. (58642985100); Lynch, Christopher (58642824600); Murphy, Andrew G. (58643463400); Hunt, Danielle (58643623800); Wheeler, Vanessa L. (58643143000); Williams-Hall, Vanessa (58642508500)","58643307700; 58642985100; 58642824600; 58643463400; 58643623800; 58643143000; 58642508500","THE TURBULENT HISTORY OF CANNABIS REGULATORY ENFORCEMENT IN WASHINGTON STATE","2021","Cornell Journal of Law and Public Policy","31","1","","121","198","77","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173981931&partnerID=40&md5=820f348e39edb9d57a8b55b2893ea30c","Washington State has one of the nation's most mature licensed cannabis industries, but nearly a decade after its voters declared the State would stop treating adult cannabis use as a crime, the Washington State Liquor and Cannabis Board (LCB) has failed to embrace the voters' lofty ambitions. Legislators, licensees, and even LCB staff have derided the LCB's preference for enforcement before education and its reliance on traditional policing systems developed during the War on Drugs to regulate the cannabis industry. The LCB's frequently hostile enforcement culture-including arguing to courts that cannabis licensees have no constitutional rights-has repeatedly converted de minimis regulatory violations into business-ending events. The LCB's conduct prompted the legislature to pass a sweeping reform bill, and a subsequently issued independent audit requested by the LCB recognized the need for and recommended additional widespread reform, some of which the LCB implemented. Nevertheless, the LCB has not yet shown it has evolved into an agency that prioritizes achieving regulatory compliance over punishing licensees. This Article, the first of its kind to chronicle the regulatory and legislative evolution of Washington's cannabis industry, details the troubling history of the LCB's abuses of power and policy blunders in the early years of regulating Washington's cannabis industry. Washington presents a cautionary tale for other jurisdictions to heed when crafting or amending the regulatory scheme for their adult use cannabis industries. Stakeholders that are looking for a responsible and fair approach to regulating cannabis should consider the history, limitations, concerns, and resulting reforms borne from the Washington system. © 2021 Cornell Law School. All rights reserved.","","","Cornell Law School"
"Kavousi P.; Giamo T.; Arnold G.; Alliende M.; Huynh E.; Lea J.; Lucine R.; Tillett Miller A.; Webre A.; Yee A.; Champagne-Zamora A.; Taylor K.","Kavousi, Parisa (57376333400); Giamo, Taylor (57376180600); Arnold, Gwen (55779210300); Alliende, Mateo (57375568300); Huynh, Elisabeth (57376180700); Lea, Jaclyn (57376033200); Lucine, Rachel (57376180800); Tillett Miller, Alexandria (57376180900); Webre, Alana (57376181000); Yee, Aneka (57375417900); Champagne-Zamora, Adrianna (57375721500); Taylor, Keith (55542788500)","57376333400; 57376180600; 55779210300; 57375568300; 57376180700; 57376033200; 57376180800; 57376180900; 57376181000; 57375417900; 57375721500; 55542788500","What do we know about opportunities and challenges for localities from Cannabis legalization?","2022","Review of Policy Research","39","2","","143","169","26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121347750&doi=10.1111%2fropr.12460&partnerID=40&md5=b04a0b8f02c75e4c1a3a6ee00acf54ca","This review article assays the scholarly and popular press literature on the opportunities and challenges the growing legalized cannabis industry offers U.S. local governments and communities. Localities are an important focus because in many states with legalized cannabis, local jurisdictions have authority to prevent or condition its cultivation, sale, and use. Opportunities potentially flowing to localities from legalization include increased tax revenues and land values, business expansion, and increased employment; public health and safety benefits; and the potential for legalization to advance social and racial inclusion. Challenges include the possibility that economic benefits will be more limited than anticipated; complex regulatory environments facing local governments and cannabis businesses, possible increases in pollution, blight, and public health and safety concerns; and less advancement of social and racial equity than hoped by advocates. We offer recommendations for scholars investigating cannabis governance concerns and practitioners directly grappling with them. © 2021 The Authors. Review of Policy Research published by Wiley Periodicals LLC on behalf of Policy Studies Organization","Cannabis; drugs; governance; legalization; local government; locality; marijuana","United States; drug; governance approach; legal system; local government; race","John Wiley and Sons Inc"
"Tindimwebwa L.; Ajayi A.I.; Adeniyi O.V.","Tindimwebwa, Linda (57223808946); Ajayi, Anthony Idowu (57190728824); Adeniyi, Oladele Vincent (56600363700)","57223808946; 57190728824; 56600363700","Prevalence and demographic correlates of substance use among adults with mental illness in eastern cape, south africa: A cross-sectional study","2021","International Journal of Environmental Research and Public Health","18","10","5428","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106188188&doi=10.3390%2fijerph18105428&partnerID=40&md5=0a64d1726c9caa5fa191d8cfb5c467b5","This study reports on the prevalence and demographic correlates of substance use among individuals with mental illness in the Eastern Cape, South Africa. This cross-sectional study was conducted in the Outpatient Clinic of a large hospital in the Eastern Cape, South Africa. A pre-validated tool on alcohol and psychoactive drug use was administered to 390 individuals with mental illness. Multivariable logistic regression models were fitted to explore the demographic correlates of alcohol and psychoactive drug use. Of the total participants (N = 390), 64.4% and 33.3% reported lifetime (ever used) and past-year use of alcohol, respectively, but the prevalence of risky alcohol use was 18.5%. After adjusting for relevant covariates, only male sex, younger age, and rural residence remained significantly associated with risky alcohol use. The prevalence of ever-use and past-year use of psychoactive substances was 39.7% and 17.4%, respectively. The most common substance ever used was cannabis (37.4%). Male sex, younger age, owning a business, and being unemployed were significantly associated with higher odds of lifetime and past-year use of psychoactive substances. Findings highlight the need for dedicated infrastructure and staff training in the management of these dual diagnoses in the region. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Alcohol use; Eastern Cape; Psychoactive drugs; South Africa; Substance use","Adult; Alcohol Drinking; Cross-Sectional Studies; Humans; Male; Prevalence; South Africa; Substance-Related Disorders; Eastern Cape; South Africa; Cannabis; cannabis; cocaine; methamphetamine; methaqualone; non prescription drug; opiate; prescription drug; psychedelic agent; psychotropic agent; adult; alcohol consumption; correlation; demography; disease prevalence; drug user; mental disorder; adult; age distribution; aged; alcohol consumption; Article; bipolar disorder; cannabis use; cross-sectional study; educational status; female; human; major clinical study; male; mental disease; middle aged; prevalence; rural population; sex ratio; South African; substance use; unemployment; drinking behavior; drug dependence; South Africa","MDPI AG"
"Clarke R.","Clarke, Rohan (57226554302)","57226554302","Navigating the US “Green Rush”: anti-money laundering and de-risking implications for banking cannabis-related businesses in Jamaica","2022","Journal of Financial Crime","29","2","","564","575","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119144084&doi=10.1108%2fJFC-10-2021-0235&partnerID=40&md5=ade7927f6e670025dec80000c67a6f51","Purpose: This paper aims to illuminate the diverging approaches to marijuana-related drug enforcement at the federal and state levels in the USA, which have facilitated a boom in the US medical cannabis industry (i.e. the “Green Rush”). It further sheds light on how the USA’ aggressive extraterritorial approach to anti-money laundering (AML) enforcement might simultaneously suppress the banking of cannabis-related businesses in Jamaica due to the lingering fear of de-risking. Design/methodology/approach: An international and comparative legal and policy analysis was conducted of the nexus among shifting drug enforcement policies, AML laws and the banking of cannabis-related businesses. Findings: This study found that the constitutional relationship between the US federal government and states has created a de facto comparative advantage for the US medical cannabis-related businesses that benefit from limited access to financial services. This was found to pose far-reaching implications for the banking and development of the Jamaican cannabis sector due to the dependence of the country’s financial institutions on correspondent banking relationships with the US banks that are regulated by federal AML statutes. Originality/value: To the best of the author’s knowledge, this paper is the first of its kind to examine the extraterritorial regulatory risks to the banking of cannabis-related businesses in Jamaica. © 2021, Emerald Publishing Limited.","Cannabis-related businesses; Correspondent banking; De-risking; Money laundering; Offshore financial services; Pandora papers; “Green rush”","","Emerald Group Holdings Ltd."
"Plakias Z.; Jodlowski M.; Giamo T.; Kavousi P.; Taylor K.","Plakias, Zoë (57057822800); Jodlowski, Margaret (56856847000); Giamo, Taylor (57376180600); Kavousi, Parisa (57376333400); Taylor, Keith (55542788500)","57057822800; 56856847000; 57376180600; 57376333400; 55542788500","On the money: characterizing banking and lending in the California cannabis industry","2022","Agricultural Finance Review","82","2","","214","246","32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122140758&doi=10.1108%2fAFR-06-2021-0075&partnerID=40&md5=07bb7690e56eb41fb75970c63d00340e","Purpose: Despite 2016 legalization of recreational cannabis cultivation and sale in California with the passage of Proposition 64, many cannabis businesses operate without licenses. Furthermore, federal regulations disincentivize financial institutions from banking and lending to licensed cannabis businesses. The authors explore the impact of legal cannabis business activity on California financial institutions, the barriers to banking faced by cannabis businesses, and the nontraditional sources of financing used by the industry. Design/methodology/approach: The authors use a mixed methods approach. The authors utilize call data for banks and credit unions headquartered in California and state cannabis licensing data to estimate the impact of the extensive and intensive margins of licensed cannabis activity on key banking indicators using difference-and-difference and fixed effects regressions. The qualitative data come from interviews with industry stakeholders in northern California's “Emerald Triangle” and add important context. Findings: The quantitative results show economically and statistically significant impacts of licensed cannabis activity on banking indicators, suggesting both direct and spillover effects from cannabis activity to the financial sector. However, cannabis businesses report substantial barriers to accessing basic financial services and credit, leading to nontraditional financing arrangements. Practical implications: The results suggest opportunities for cannabis businesses and financial institutions if regulations are eased and important avenues for further study. Originality/value: The authors contribute to the nascent literature on cannabis economics and the literature on banking regulation and nontraditional finance. © 2021, Emerald Publishing Limited.","Cannabis; Controlled substances act; Difference-in-difference; Fixed effects; Mixed methods; Nontraditional lending; Regulation; SAFE Banking Act; Transaction costs","","Emerald Group Holdings Ltd."
"Bajaj V.; Pathak P.; Mehrotra S.; Singh V.; Govil S.; Khanna A.","Bajaj, Vikrant (35261420600); Pathak, Prashant (37061665400); Mehrotra, Saurabh (7102264258); Singh, Vijender (57213256636); Govil, Sandeep (56385485300); Khanna, Aman (37061022600)","35261420600; 37061665400; 7102264258; 57213256636; 56385485300; 37061022600","Cannabis Induced Periodic Catatonia: A Case Report","2011","International Journal of Mental Health and Addiction","9","2","","162","164","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953165049&doi=10.1007%2fs11469-009-9262-9&partnerID=40&md5=ad33ca5c7c1ccdbed9cb2f3cf5b1159a","Catatonia is a syndrome of specific motor abnormalities closely associated with disorders in mood, affect, thought and cognition. The principal signs of the disorder are mutism, immobility, negativism, posturing, stereotypy and echo phenomena. Catatonia is commonly seen in various psychiatric disorders, neurological disorders and certain medical conditions. It has also been reported in individuals with substance withdrawal. But we are presenting the case of a patient with cannabis dependence, who presented with symptoms of catatonia preceded by an increase in the amount of cannabis intake and resolution of the catatonia when he abstained from the substance. Literature review did not show any case revealing association between cannabis to catatonia. © 2009 Springer Science+Business Media, LLC.","Cannabis; Catatonia","",""
"Cherney J.H.; Small E.","Cherney, Jerome H. (6701396616); Small, Ernest (56235712600)","6701396616; 56235712600","Industrial hemp in North America: Production, politics and potential","2016","Agronomy","6","4","58","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025476272&doi=10.3390%2fagronomy6040058&partnerID=40&md5=b093cd7769ff21a2be41bd642ba8e78c","Most of the Western World banned the cultivation of Cannabis sativa in the early 20th century because biotypes high in ∆9-tetrahydrocannabinol (THC, the principal intoxicant cannabinoid) are the source of marijuana. Nevertheless, since 1990, dozens of countries have authorized the licensed growth and processing of “industrial hemp” (cultivars with quite low levels of THC). Canada has concentrated on hemp oilseed production, and very recently, Europe changed its emphasis from fiber to oilseed. The USA, historically a major hemp producer, appears on the verge of reintroducing industrial hemp production. This presentation provides updates on various agricultural, scientific, social, and political considerations that impact the commercial hemp industry in the United States and Canada. The most promising scenario for the hemp industry in North America is a continuing focus on oilseed production, as well as cannabidiol (CBD), the principal non-intoxicant cannabinoid considered by many to have substantial medical potential, and currently in great demand as a pharmaceutical. Future success of the industrial hemp industry in North America is heavily dependent on the breeding of more productive oilseed cultivars, the continued development of consumer goods, reasonable but not overly restrictive regulations, and discouragement of overproduction associated with unrealistic enthusiasm. Changing attitudes have generated an unprecedented demand for the cannabis plant and its products, resulting in urgent needs for new legislative, regulatory, and business frameworks, as well as scientific, technological, and agricultural research. © 2016 by the authors","Cannabis; Environmental sustainability; Fiber; Hemp; Marijuana; Oilseed","","MDPI AG"
"Otañez M.; Grewal J.","Otañez, Marty (34880597900); Grewal, Jassy (57220130226)","34880597900; 57220130226","Health and Safety in the Legal Cannabis Industry Before and During COVID-19","2021","New solutions : a journal of environmental and occupational health policy : NS","30","4","","311","323","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097008862&doi=10.1177%2f1048291120976134&partnerID=40&md5=4e8f79c44c065f2b2b0ef9bf9097d763","In 2020, medical cannabis is legal in thirty-six states and adult use (""recreational"") cannabis is legal in fifteen, despite cannabis remaining illegal at the federal level. Up to 250,000 individuals work as full-time employees in cannabis. During the COVID-19 pandemic, California, Colorado, and other states deemed medical cannabis business as essential, raising occupational challenges and safety issues for cannabis employees. In 2020, interviews were conducted with Ethan, an extraction lab assistant in Las Vegas; Haylee, a trainer with a cannabis company in Sacramento; and Belinda, a Wisconsin-based occupational health and safety trainer, to showcase concerns and experiences in cannabis workplaces and training programs. Findings from interviews reveal pro-worker activities to promote workplace safety and labor unionism while large multistate operators seek to optimize profits and obstruct workers' rights. Knowledge gained through the interviews contributes to discussions to lessen the potential exposure of the cannabis workforce to COVID 19.","Cannabis; cannabis legalization; COVID 19; hydrocarbon extraction, workers’ rights; labor unions; mold exposure; training; worker health and safety","Adult; COVID-19; Employment; Humans; Medical Marijuana; Occupational Health; Organizational Policy; United States; Workplace; medical cannabis; adult; employment; epidemiology; human; legislation and jurisprudence; occupational health; organizational policy; United States; workplace","NLM (Medline)"
"Rychert M.; Emanuel M.A.; Wilkins C.","Rychert, Marta (56548901500); Emanuel, Machel Anthony (51863548400); Wilkins, Chris (7101884302)","56548901500; 51863548400; 7101884302","Foreign investment in emerging legal medicinal cannabis markets: the Jamaica case study","2021","Globalization and Health","17","1","38","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103808120&doi=10.1186%2fs12992-021-00687-3&partnerID=40&md5=b47ef56e8faa7037a5c19a7cb4fd3e23","Introduction: The establishment of a legal market for medicinal cannabis under the Dangerous Drugs Amendment Act 2015 has positioned Jamaica at the forefront of cannabis law reform in the developing world. Many local cannabis businesses have attracted investment from overseas, including from Canada, US and Europe. Aim: To explore the opportunities and risks of foreign investment in an emerging domestic legal cannabis market in a developing country. Methods: Thematic analysis of semi-structured face-to-face interviews with 22 key informants (KIs) from the Jamaican government, local cannabis industry, academia and civil society, and field observations of legal and illegal cannabis cultivators. Results: KIs from the Jamaican public agencies and domestic cannabis entrepreneurs saw foreign investment as an essential source of capital to finance the start-up costs of legal cannabis businesses. Local cannabis entrepreneurs prioritised investors with the greatest financial resources, brand reputation and export networks. They also considered how allied an investor was with their business vision (e.g., organic cultivation, medical vs. recreational). The key benefits of partnering with a foreign investor included transfer of technical knowledge and financial capital, which enhanced production, quality assurance and seed-to-sale tracking. Some KIs expressed concern over investors’ focus on increasing production efficiency and scale at the expense of funding research and development (R&D) and clinical trials. KIs from the local industry, government agencies and civil society highlighted the risks of ‘predatory’ shareholder agreements and domestic political interference. Concerns were raised about the impact of foreign investment on the diversity of the domestic cannabis sector in Jamaica, including the commitment to transition traditional illegal small-scale cannabis cultivators to the legal sector. Conclusion: While foreign investment has facilitated the commercialisation of the cannabis sector in Jamaica, regulatory measures are also needed to protect the domestic industry and support the transition of small-scale illegal cultivators to the legal regime. Foreign investments may alter the economic, social and political determinants of health in transitioning from illegal to legal cannabis market economy. © 2021, The Author(s).","Cannabis; Cannabis industry; Caribbean; Jamaica; Legalisation; Medical cannabis; Policy","Cannabis; Government Agencies; Humans; Investments; Jamaica; Medical Marijuana; Canada; Europe; Jamaica; United States; Cannabis; medical cannabis; cannabis; cultivar; developing world; foreign direct investment; foreign policy; legislation; local government; medicinal plant; policy implementation; stakeholder; Article; cannabis use; developing country; finance; funding; government; investment; Jamaica; legal aspect; marketing; population research; priority journal; public health; semi structured interview; human; investment","BioMed Central Ltd"
